feature,ks_statistic,p_value
4.0,0.03278688524590164,0.9999999999435809
-0.5.1,0.01639344262295082,1.0
0.4.1,0.14729630535845364,0.43480995953758583
0.3.2,0.21140200636163445,0.09472670286539894
20.4,0.13261561047222903,0.5651620787211462
23.3,0.09004159530217763,0.9270878334015399
0.7.2,0.14900905309517984,0.4204877632646872
0.0.24,0.1044776119402985,0.8258432804672831
10.0,0.11769023733790066,0.7075977809011224
-5.7,0.2498164913139222,0.029492089547721617
0.0.25,0.014925373134328358,1.0
0.0.26,0.014925373134328358,1.0
0.5.3,0.20112551994127723,0.1254846974061366
2.2.1,0.16540249571813065,0.2997151724318069
-3.0,0.13065818448739908,0.5846866627252975
20.7,0.18155126009297773,0.207066669526761
1.3,0.23219965745045265,0.05129126864400314
0.0.27,0.1881575727917788,0.1772255487902824
11.1,0.15463665280156594,0.37751076066824263
-3.4,0.23366772693907512,0.04905388410666449
0.0.28,0.014925373134328358,1.0
0.0.29,0.0,1.0
0.4.2,0.1756789821384879,0.23742576765692697
3.4,0.16540249571813065,0.2997151724318069
11.5,0.12503058478101298,0.6376398921723283
48.2,0.17103009542451675,0.26534161035611326
0.9,0.1504771225838023,0.40899693295018197
0.0.30,0.24345485686322485,0.03643905566559775
